timestamp,price
2025-01-07 00:00:00,102229.39453189743
2025-01-08 00:00:00,96952.09886774956
2025-01-09 00:00:00,95016.71440989176
2025-01-10 00:00:00,92376.27578346101
2025-01-11 00:00:00,94736.6267420969
2025-01-12 00:00:00,94559.55167224213
2025-01-13 00:00:00,94454.77089638807
2025-01-14 00:00:00,94456.3493746993
2025-01-15 00:00:00,96574.07768799194
2025-01-16 00:00:00,100313.15239828422
2025-01-17 00:00:00,100044.57926776377
2025-01-18 00:00:00,104160.69358484233
2025-01-19 00:00:00,104334.61575724394
2025-01-20 00:00:00,101275.33714814208
2025-01-21 00:00:00,101764.90860170545
2025-01-22 00:00:00,106182.2368201815
2025-01-23 00:00:00,103673.53509537787
2025-01-24 00:00:00,104067.60991206947
2025-01-25 00:00:00,104835.19253555956
2025-01-26 00:00:00,104796.04077738234
2025-01-27 00:00:00,102552.24874280207
2025-01-28 00:00:00,101958.46953745594
2025-01-29 00:00:00,101313.11264498268
2025-01-30 00:00:00,103718.97939813645
2025-01-31 00:00:00,104781.5135100103
2025-02-01 00:00:00,102382.39409722165
2025-02-02 00:00:00,100674.78762544956
2025-02-03 00:00:00,97568.31653024875
2025-02-04 00:00:00,101466.8606657039
2025-02-05 00:00:00,98118.43921664466
2025-02-06 00:00:00,96582.88682919052
2025-02-07 00:00:00,96635.41875332211
2025-02-08 00:00:00,96558.4563096667
2025-02-09 00:00:00,96558.23762501091
2025-02-10 00:00:00,96548.57865379585
2025-02-11 00:00:00,97399.98161383197
2025-02-12 00:00:00,95739.97737079239
2025-02-13 00:00:00,97836.18856127483
2025-02-14 00:00:00,96561.6639990985
2025-02-15 00:00:00,97488.48148536457
2025-02-16 00:00:00,97569.95169430465
2025-02-17 00:00:00,96149.3484548204
2025-02-18 00:00:00,95776.15723852723
2025-02-19 00:00:00,95495.89153299287
2025-02-20 00:00:00,96554.87156259285
2025-02-21 00:00:00,98384.31738240314
2025-02-22 00:00:00,96135.15541305285
2025-02-23 00:00:00,96564.15414290235
2025-02-24 00:00:00,96327.46309127835
2025-02-25 00:00:00,91396.76686930266
2025-02-26 00:00:00,88755.7693356979
2025-02-27 00:00:00,83900.11496524839
2025-02-28 00:00:00,84709.14477847965
2025-03-01 00:00:00,84441.9012237131
2025-03-02 00:00:00,86005.25629681018
2025-03-03 00:00:00,94261.53286538439
2025-03-04 00:00:00,86124.71418722175
2025-03-05 00:00:00,87310.80531078295
2025-03-06 00:00:00,90604.08098523637
2025-03-07 00:00:00,90001.40087607042
2025-03-07 13:56:21,89707.06692008913
